sample_id,platform_id_x,type,provider,molecular_characterisation_type,instrument_model,library_strategy,platform_id_y,model_id
A3451-08,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2615
A1801-15,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1320
HNXF_536-3784,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-536
A1955-084,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2198
A2874-09,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2417
A2874-14,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2403
A3175-05,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2359
A2671-20,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-3084
A1955-049,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2205
A2671-02,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2211
PAXF_2007-5736,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2007
A2671-03,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2775
CXF_1297-3644,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1297
GXF_97-9609,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-97
A1801-07,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-899
A3203-01,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2204
PAXF_1876-9329,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1876
A1801-04,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-3052
A1801-10,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1335
PXF_537-1776,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-537
GXF_251-6477,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-251
A3451-09,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2600
A1955-018,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2172
A1955-068,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2158
A1801-12,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-535
A2671-28,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2366
A2671-17,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-3044
A2874-01,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-737
LXFL_1121-2152,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1121
LXFA_1647-3238,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1647
LXFA_1848-9907,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1848
A2671-21,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-3087
LXFA_1041-2201,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1041
PAXF_1900-9520,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1900
CXF_1096-1670,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1096
A1955-130,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-680
A2671-06,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2039
A1801-22,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1256
PAXF_2005-5076,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2005
A2988-23,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2011
MEXF_1732-7987,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1732
A1955-075,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2207
A1701-05,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1861
PAXF_736-9196,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-736
A2671-31,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2415
A1955-041,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-3079
A2874-11,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-SMTCA17
MAXF_1322-1230,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1322
A2671-35,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-520
A1955-082,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2159
MAXF_508-1777,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-508
A1955-070,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2165
A1955-013,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2102
A1801-19,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2116
MEXF_989-3233,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-989
A2671-15,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-3036
A2671-33,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2499
A1955-020,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2248
A1801-24,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-631
LXFL_625-2241,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-625
A2874-18,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1972
A2874-32,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2076
LXFE_397-1638,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-397
A1701-27,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1218
A2988-26,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1967
CXF_1783-1853,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1783
A1955-021rh,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2261
A1701-17,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1998
A2671-16,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-3037
A2874-02,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-3023
RXF_1393-1995,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1393
A2988-12,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2665
LXFE_1422-8942,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1422
PAXF_546-9483,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-546
OVXF_550-4338,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-550
A1955-016,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2129
A1801-06,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1352
CXF_975-3337,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-975
A1955-128,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2277
A2988-28,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1781
PAXF_1965-7495,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1965
A2671-07,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2049
LXFL_430-2926,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-430
A1955-006rh,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2061
A3175-07,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2706
A1701-22,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2048
A3175-09,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2276
CEXF_633-6901,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-633
SXF_627-8318,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-627
A1801-25,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1838
SXF_1186-5409,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1186
LXFA_586-6508,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-586
LXFA_592-2222,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-592
MAXF_1384-9459,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1384
A2988-02,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1353
A2988-29,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2128
A3175-06,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2662
A1701-23,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2104
CXF_233-2685,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-233
PXF_541-3557,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-541
A3451-06,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-SMTCA62
LXFA_623-9345,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-623
CXF_1784-1174,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1784
A1955-113,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2064
LXFE_409-8620,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-409
A1955-010,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2070
A2988-19,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-BR64
OVXF_1544-9842,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1544
A1801-18,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2059
A1801-23,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2065
MEXF_622-8283,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-622
CXF_1034-4446,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1034
PXF_1752-9309,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1752
A2784-04,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2273
MEXF_1829-9933,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1829
RXF_1183-3134,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1183
CXF_742-5370,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-742
MAXF_583-3098,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-583
LXFE_597-4073,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-597
A2874-10,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-SMTCA75
GXA_3027-4018,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-3027
A1955-022rh,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2271
A2874-03,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2503
LXFE_1022-1122,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1022
A3230-01,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1036
A1801-36,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2073
A1955-008,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2067
RXF_1220-2600,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1220
RXF_393-9789,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-393
A3451-12,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2098
LXFA_1584-4190,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1584
RXF_423-8374,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-423
A1955-007,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2066
MEXF_1792-1094,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1792
OVXF_1023-5712,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1023
A1955-138,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2264
A2874-05,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2502
CXF_609-1110,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-609
MEXF_1341-6216,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-1341
A2988-25,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2890
A2671-37,copy_number_alteration_Affymetrix_SNP6.0,cna,CRL,copy number alteration,Affymetrix SNP6.0,microarray,copy_number_alteration_Affymetrix_SNP6.0,CRL-2106
A2553_08,expression_Affymetrix_HGU133plus2,expression,CRL,expression,Affymetrix HGU133plus2,,expression_Affymetrix_HGU133plus2,CRL-2479
A1742-01,expression_Affymetrix_HGU133plus2,expression,CRL,expression,Affymetrix HGU133plus2,,expression_Affymetrix_HGU133plus2,CRL-3029
A1742-35,expression_Affymetrix_HGU133plus2,expression,CRL,expression,Affymetrix HGU133plus2,,expression_Affymetrix_HGU133plus2,CRL-2121
A3512_74,expression_Affymetrix_HGU133plus2,expression,CRL,expression,Affymetrix HGU133plus2,,expression_Affymetrix_HGU133plus2,CRL-2690
AFG1200-48,expression_Affymetrix_HGU133plus2,expression,CRL,expression,Affymetrix HGU133plus2,,expression_Affymetrix_HGU133plus2,CRL-2069
A3559_50,expression_Affymetrix_HGU133plus2,expression,CRL,expression,Affymetrix HGU133plus2,,expression_Affymetrix_HGU133plus2,CRL-2727
A1742-23,expression_Affymetrix_HGU133plus2,expression,CRL,expression,Affymetrix HGU133plus2,,expression_Affymetrix_HGU133plus2,CRL-2082
A1798-33,expression_Affymetrix_HGU133plus2,expression,CRL,expression,Affymetrix HGU133plus2,,expression_Affymetrix_HGU133plus2,CRL-1986
A1742-32,expression_Affymetrix_HGU133plus2,expression,CRL,expression,Affymetrix HGU133plus2,,expression_Affymetrix_HGU133plus2,CRL-2257
E5R_021a22,expression_Affymetrix_HGU133plus2,expression,CRL,expression,Affymetrix HGU133plus2,,expression_Affymetrix_HGU133plus2,CRL-488
A3512_31,expression_Affymetrix_HGU133plus2,expression,CRL,expression,Affymetrix HGU133plus2,,expression_Affymetrix_HGU133plus2,CRL-2531
E7R_059a94,expression_Affymetrix_HGU133plus2,expression,CRL,expression,Affymetrix HGU133plus2,,expression_Affymetrix_HGU133plus2,CRL-463
A1798-16,expression_Affymetrix_HGU133plus2,expression,CRL,expression,Affymetrix HGU133plus2,,expression_Affymetrix_HGU133plus2,CRL-2281
