model_id,provider,model_type,publications,age_in_years_at_collection,diagnosis,tumour_type,primary_site,sex,ethnicity,mt
SIDM01260,CMP,Cell Line,"PMID: 26589293,PMID: 15900046,PMID: 6534930,PMID: 22460905,PMID: 20215515,PMID: 9290701,PMID: 31068700,PMID: 23136038,PMID: 30894373,PMID: 25485619",63,Invasive Ductal Carcinoma Not Otherwise Specified,Metastatic,Breast,Female,White,Cell Line
SIDM01262,CMP,Cell Line,,7,Epstein-Barr Virus-Related Burkitt s Lymphoma,Primary,Haematopoietic and Lymphoid,Male,Black,Cell Line
SIDM01264,CMP,Cell Line,"PMID: 32123307,PMID: 12691914,PMID: 17692805,PMID: 28196595",42,Plasma Cell Myeloma,Primary,Haematopoietic and Lymphoid,Female,Black,Cell Line
SIDM00226,CMP,Cell Line,"PMID: 26589293,PMID: 7459858,PMID: 22460905,PMID: 7139592,PMID: 3698005,PMID: 12210830,PMID: 28350380,PMID: 20655465,PMID: 7253718,PMID: 25894527,PMID: 24466371,PMID: 6888561,PMID: 327080,PMID: 12702577,PMID: 11550280,PMID: 31068700,PMID: 62055,PMID: 31581737,PMID: 8221663,PMID: 6401685,PMID: 8665486,PMID: 3518877,PMID: 9201287,PMID: 25877200,PMID: 16524757,PMID: 7838528,PMID: 15390183,PMID: 22213050,PMID: 7037175,PMID: 6935474,PMID: 17974978,PMID: 9283597,PMID: 922665,PMID: 2535691,PMID: 833871,PMID: 15892104,PMID: 33460449,PMID: 16822308,PMID: 5459762,PMID: 9516836,PMID: 8490657,PMID: 11668190,PMID: 30894373,PMID: 25485619",1.083,Neuroblastoma,Metastatic,Peripheral Nervous System,Male,White,Cell Line
SIDM00940,CMP,Cell Line,"PMID: 26589293,PMID: 25877200,PMID: 25984343,PMID: 35839778,PMID: 22460905,PMID: 27397505,PMID: 31978347,PMID: 20215515,PMID: 24176112,PMID: 28196595,PMID: 30613774,PMID: 31068700,PMID: 20164919,PMID: 30894373,PMID: 25485619",43,Breast Carcinoma,Metastatic,Breast,Female,Not provided,Cell Line
SIDM01195,CMP,Cell Line,"PMID: 26589293,PMID: 10676951,PMID: 9738977,PMID: 22460905,PMID: 16337770,PMID: 6091813,PMID: 7759961,PMID: 8547074,PMID: 9685479,PMID: 16311011,PMID: 30285677,PMID: 10739008,PMID: 2140233,PMID: 2985879,PMID: 10352142,PMID: 33317567,PMID: 1083890,PMID: 9371509,PMID: 6582512,PMID: 8558920,PMID: 8300570,PMID: 10966170,PMID: 11701946,PMID: 11226526,PMID: 31978347,PMID: 1913629,PMID: 21269460,PMID: 31068700,PMID: 29787063,PMID: 16408098,PMID: 15843827,PMID: 12393283,PMID: 25877200,PMID: 34707142,PMID: 8558913,PMID: 9510473,PMID: 20801507,PMID: 31160637,PMID: 30629668,PMID: 15637111,PMID: 8643484,PMID: 3874327,PMID: 11416159,PMID: 178611,PMID: 3159941,PMID: 1571549,PMID: 30894373,PMID: 25485619",37,Adult Acute Monocytic Leukemia,Metastatic,Haematopoietic and Lymphoid,Male,White,Cell Line
SIDM01255,CMP,Cell Line,"PMID: 11482875,PMID: 20164919",41,Burkitt's Lymphoma,Primary,Haematopoietic and Lymphoid,Male,White,Cell Line
SIDM00997,CMP,Cell Line,"PMID: 26589293,PMID: 25877200,PMID: 35839778,PMID: 9177455,PMID: 22460905,PMID: 30737244,PMID: 27397505,PMID: 31978347,PMID: 9290701,PMID: 15613457,PMID: 23833040,PMID: 21566963,PMID: 31395879,PMID: 14522906,PMID: 31068700,PMID: 30894373,PMID: 16924234,PMID: 20164919",67,Thyroid Gland Anaplastic Carcinoma,Primary,Thyroid,Female,Not provided,Cell Line
SIDM00996,CMP,Cell Line,"PMID: 26589293,PMID: 18713817,PMID: 22460905,PMID: 27397505,PMID: 19087340,PMID: 16924234,PMID: 20164919,PMID: 17804723,PMID: 17725429,PMID: 31978347,PMID: 9290701,PMID: 15613457,PMID: 23833040,PMID: 31068700,PMID: 23162534,PMID: 21566963,PMID: 21868764,PMID: 25877200,PMID: 35839778,PMID: 14522906,PMID: 30737244,PMID: 31395879,PMID: 9247707,PMID: 30894373,PMID: 1516062",78,Thyroid Gland Anaplastic Carcinoma,Primary,Thyroid,Female,Not provided,Cell Line
SIDM00986,CMP,Cell Line,"PMID: 26589293,PMID: 25877200,PMID: 35839778,PMID: 22460905,PMID: 27397505,PMID: 17390010,PMID: 20215515,PMID: 25275298,PMID: 31068700,PMID: 20164919,PMID: 8985100,PMID: 30894373,PMID: 17719389,PMID: 30971826,PMID: 18423281,PMID: 25485619",52,Head and Neck Squamous Cell Carcinoma,Primary,Head and Neck,Male,East Asian,Cell Line
SIDM00962,CMP,Cell Line,"PMID: 26589293,PMID: 1720549,PMID: 22460905,PMID: 27397505,PMID: 30285677,PMID: 3856862,PMID: 20809971,PMID: 20164919,PMID: 10071072,PMID: 9680106,PMID: 31068700,PMID: 3332852,PMID: 35839778,PMID: 14504097,PMID: 20215515,PMID: 31160637,PMID: 30629668,PMID: 3098690,PMID: 16523483,PMID: 6572735,PMID: 30894373",45,Chronic Myelogenous Leukemia,Primary,Haematopoietic and Lymphoid,Male,Not provided,Cell Line
SIDM00961,CMP,Cell Line,"PMID: 26589293,PMID: 22460905,PMID: 26428435,PMID: 27397505,PMID: 30563222,PMID: 20164919,PMID: 23637631,PMID: 1756482,PMID: 31068700,PMID: 21822310,PMID: 35839778,PMID: 29464090,PMID: 30879952,PMID: 19787792,PMID: 25984343,PMID: 33460449,PMID: 22142829,PMID: 11668190,PMID: 30894373",19,Ewing's Sarcoma,Metastatic,Bone,Female,East Asian,Cell Line
SIDM00939,CMP,Cell Line,"PMID: 1657424,PMID: 25877200,PMID: 35839778,PMID: 26589293,PMID: 18083107,PMID: 22460905,PMID: 2440566,PMID: 27397505,PMID: 20215515,PMID: 2145926,PMID: 31068700,PMID: 20164919,PMID: 30894373,PMID: 29681454,PMID: 25485619",Not provided,Non-Small Cell Lung Carcinoma,Primary,Lung,Male,Not provided,Cell Line
SIDM00937,CMP,Cell Line,"PMID: 26589293,PMID: 20014447,PMID: 22460905,PMID: 2440566,PMID: 27397505,PMID: 20164919,PMID: 25888065,PMID: 19631575,PMID: 31978347,PMID: 25275298,PMID: 2145926,PMID: 28196595,PMID: 31068700,PMID: 34977030,PMID: 24201445,PMID: 21868764,PMID: 25877200,PMID: 35839778,PMID: 3181269,PMID: 29156801,PMID: 28476783,PMID: 30971826,PMID: 27108184,PMID: 29770536,PMID: 30894373,PMID: 25485619",56,Tongue Squamous Cell Carcinoma,Primary,Head and Neck,Male,Not provided,Cell Line
SIDM00942,CMP,Cell Line,"PMID: 26589293,PMID: 35839778,PMID: 3181269,PMID: 22460905,PMID: 34339474,PMID: 2440566,PMID: 27397505,PMID: 31978347,PMID: 20215515,PMID: 25275298,PMID: 2145926,PMID: 31068700,PMID: 24710094,PMID: 30894373,PMID: 30971826,PMID: 20164919",69,Tongue Squamous Cell Carcinoma,Primary,Head and Neck,Male,Not provided,Cell Line
SIDM00935,CMP,Cell Line,"PMID: 35839778,PMID: 21573363,PMID: 27397505,PMID: 30894373,PMID: 20164919",76,Vulvar Squamous Cell Carcinoma,Primary,Vulva,Female,Not provided,Cell Line
SIDM00932,CMP,Cell Line,"PMID: 26589293,PMID: 25877200,PMID: 35839778,PMID: 28489074,PMID: 22460905,PMID: 8868943,PMID: 25485619,PMID: 27397505,PMID: 20215515,PMID: 31395879,PMID: 31068700,PMID: 30894373,PMID: 20164919",75,Renal Cell Carcinoma,Metastatic,Kidney,Male,Not provided,Cell Line
SIDM00929,CMP,Cell Line,"PMID: 26589293,PMID: 35839778,PMID: 22460905,PMID: 27397505,PMID: 31068700,PMID: 30894373,PMID: 21590123",76,Chondrosarcoma,Primary,Bone,Male,Not provided,Cell Line
SIDM00956,CMP,Cell Line,"PMID: 26589293,PMID: 25877200,PMID: 35839778,PMID: 22460905,PMID: 25485619,PMID: 27397505,PMID: 20215515,PMID: 31068700,PMID: 30894373,PMID: 30971826,PMID: 20164919",57,Esophageal Squamous Cell Carcinoma,Primary,Esophagus,Female,Black,Cell Line
SIDM00954,CMP,Cell Line,"PMID: 9892114,PMID: 25877200,PMID: 35839778,PMID: 27397505,PMID: 24176112,PMID: 28196595,PMID: 10969801,PMID: 30894373,PMID: 30971826,PMID: 20164919",52,Breast Carcinoma,Metastatic,Breast,Female,Not provided,Cell Line
SIDM00953,CMP,Cell Line,"PMID: 26589293,PMID: 25877200,PMID: 35839778,PMID: 1318772,PMID: 22460905,PMID: 25485619,PMID: 27397505,PMID: 31068700,PMID: 25960936,PMID: 30894373,PMID: 20164919",Not provided,Small Cell Lung Carcinoma,Metastatic,Lung,Male,Not provided,Cell Line
SIDM00943,CMP,Cell Line,"PMID: 26589293,PMID: 7459858,PMID: 8026879,PMID: 22460905,PMID: 27397505,PMID: 14695172,PMID: 15126341,PMID: 1764370,PMID: 12800145,PMID: 20164919,PMID: 18380791,PMID: 10027410,PMID: 12692724,PMID: 6582512,PMID: 15367885,PMID: 22585861,PMID: 7961102,PMID: 26216984,PMID: 31068700,PMID: 15688027,PMID: 8286197,PMID: 3518877,PMID: 20418756,PMID: 25877200,PMID: 35839778,PMID: 25167228,PMID: 31037374,PMID: 20215515,PMID: 18298655,PMID: 24700732,PMID: 8194712,PMID: 6935474,PMID: 8426738,PMID: 7809022,PMID: 3019537,PMID: 11169957,PMID: 1630814,PMID: 11169959,PMID: 27259358,PMID: 15770730,PMID: 7972006,PMID: 11668190,PMID: 30894373,PMID: 25485619",56,Pancreatic Ductal Adenocarcinoma,Primary,Pancreas,Male,White,Cell Line
SIDM00924,CMP,Cell Line,"PMID: 26589293,PMID: 62839,PMID: 35839778,PMID: 25877200,PMID: 22460905,PMID: 25485619,PMID: 27397505,PMID: 31978347,PMID: 20215515,PMID: 31068700,PMID: 30894373,PMID: 20164919",45,Bronchogenic Carcinoma,Primary,Lung,Male,Not provided,Cell Line
SIDM00949,CMP,Cell Line,"PMID: 15356658,PMID: 26589293,PMID: 17170727,PMID: 25355872,PMID: 35839778,PMID: 8558920,PMID: 22460905,PMID: 27397505,PMID: 30285677,PMID: 31160637,PMID: 2307542,PMID: 28196595,PMID: 30629668,PMID: 31068700,PMID: 20164919,PMID: 30894373,PMID: 28356514",12,Anaplastic Large Cell Lymphoma,Metastatic,Haematopoietic and Lymphoid,Male,Not provided,Cell Line
SIDM00969,CMP,Cell Line,"PMID: 26589293,PMID: 25877200,PMID: 35839778,PMID: 22710073,PMID: 23415752,PMID: 7836420,PMID: 16380993,PMID: 27397505,PMID: 30485824,PMID: 1536252,PMID: 27561551,PMID: 10972993,PMID: 31068700,PMID: 10318951,PMID: 30894373,PMID: 30971826,PMID: 25485619",Not provided,Ovarian Adenocarcinoma,Not provided,Ovary,Female,Not provided,Cell Line
SIDM00970,CMP,Cell Line,"PMID: 35839778,PMID: 15846775,PMID: 27397505,PMID: 24035680,PMID: 11921286,PMID: 29732388,PMID: 30894373,PMID: 24367658,PMID: 20164919",Not provided,Bladder Carcinoma,Not provided,Bladder,Male,Not provided,Cell Line
SIDM01007,CMP,Cell Line,"PMID: 20164919,PMID: 17170727,PMID: 35839778,PMID: 3264071,PMID: 22675565,PMID: 15472075,PMID: 27397505,PMID: 14671638,PMID: 9933131,PMID: 31068700,PMID: 16408098,PMID: 15843827,PMID: 30894373,PMID: 35354797",2,Childhood T Acute Lymphoblastic Leukemia,Primary,Haematopoietic and Lymphoid,Male,Not provided,Cell Line
SIDM01005,CMP,Cell Line,"PMID: 26589293,PMID: 9738977,PMID: 22460905,PMID: 15621809,PMID: 27397505,PMID: 20922763,PMID: 30285677,PMID: 10739008,PMID: 24211243,PMID: 18385756,PMID: 32180206,PMID: 20164919,PMID: 12111653,PMID: 29491412,PMID: 11753612,PMID: 11226526,PMID: 28109323,PMID: 31978347,PMID: 28196595,PMID: 31068700,PMID: 16408098,PMID: 15843827,PMID: 2018839,PMID: 23955599,PMID: 22068913,PMID: 25877200,PMID: 35839778,PMID: 8558913,PMID: 31160637,PMID: 20227111,PMID: 30629668,PMID: 25984343,PMID: 24976338,PMID: 18292219,PMID: 16523483,PMID: 30894373,PMID: 25485619",7,Childhood Acute Myeloid Leukemia with Maturation,Primary,Haematopoietic and Lymphoid,Male,East Asian,Cell Line
SIDM01009,CMP,Cell Line,"PMID: 26589293,PMID: 22460905,PMID: 7139592,PMID: 28350380,PMID: 27397505,PMID: 10630978,PMID: 24466371,PMID: 6888561,PMID: 17506115,PMID: 31068700,PMID: 2846152,PMID: 25877200,PMID: 35839778,PMID: 33525507,PMID: 30629668,PMID: 18724359,PMID: 18082704,PMID: 18923524,PMID: 11668190,PMID: 30894373,PMID: 25485619",Not provided,Neuroblastoma,Primary,Peripheral Nervous System,Female,Not provided,Cell Line
SIDM01018,CMP,Cell Line,"PMID: 26589293,PMID: 25355872,PMID: 22460905,PMID: 8547074,PMID: 27397505,PMID: 30285677,PMID: 20628145,PMID: 25894527,PMID: 20164919,PMID: 8558920,PMID: 2690233,PMID: 18194364,PMID: 19380639,PMID: 28196595,PMID: 31068700,PMID: 11372738,PMID: 35839778,PMID: 3013343,PMID: 2602653,PMID: 31160637,PMID: 30629668,PMID: 3359046,PMID: 21368758,PMID: 29533902,PMID: 17065008,PMID: 30894373",37,Hodgkin's Lymphoma,Metastatic,Haematopoietic and Lymphoid,Male,Not provided,Cell Line
SIDM01024,CMP,Cell Line,"PMID: 26589293,PMID: 22460905,PMID: 27397505,PMID: 11092977,PMID: 20164919,PMID: 15172977,PMID: 21191746,PMID: 31978347,PMID: 31068700,PMID: 9033652,PMID: 8575860,PMID: 25877200,PMID: 35839778,PMID: 20215515,PMID: 16045545,PMID: 30629668,PMID: 30971826,PMID: 1728357,PMID: 7913084,PMID: 30894373,PMID: 26512696,PMID: 25485619",77,Esophageal Squamous Cell Carcinoma,Primary,Esophagus,Male,East Asian,Cell Line
SIDM00925,CMP,Cell Line,"PMID: 19472407,PMID: 26589293,PMID: 22460905,PMID: 27397505,PMID: 11005564,PMID: 20164919,PMID: 26361996,PMID: 3940644,PMID: 24135919,PMID: 2386953,PMID: 31978347,PMID: 22961666,PMID: 28196595,PMID: 31068700,PMID: 20557307,PMID: 25877200,PMID: 35839778,PMID: 18083107,PMID: 10536175,PMID: 20215515,PMID: 1311061,PMID: 8806092,PMID: 25984343,PMID: 19153074,PMID: 11030152,PMID: 31803961,PMID: 29444439,PMID: 30894373,PMID: 29681454,PMID: 25485619",Not provided,Papillary Lung Adenocarcinoma,Metastatic,Lung,Male,Not provided,Cell Line
SIDM00965,CMP,Cell Line,"PMID: 19472407,PMID: 26589293,PMID: 26676926,PMID: 6713399,PMID: 22460905,PMID: 20193106,PMID: 27397505,PMID: 8806103,PMID: 20164919,PMID: 21163134,PMID: 16677475,PMID: 8626706,PMID: 23716474,PMID: 28599409,PMID: 31978347,PMID: 22961666,PMID: 28196595,PMID: 31068700,PMID: 20557307,PMID: 1563005,PMID: 25877200,PMID: 35839778,PMID: 17426248,PMID: 20215515,PMID: 2985257,PMID: 6148444,PMID: 25960936,PMID: 8806092,PMID: 1320893,PMID: 11030152,PMID: 31803961,PMID: 30894373,PMID: 2985258,PMID: 25485619",61,Small Cell Lung Carcinoma,Metastatic,Lung,Male,White,Cell Line
SIDM00927,CMP,Cell Line,"PMID: 26589293,PMID: 10037197,PMID: 22460905,PMID: 27397505,PMID: 8806103,PMID: 2569043,PMID: 20164919,PMID: 8626706,PMID: 23716474,PMID: 22961666,PMID: 31068700,PMID: 20557307,PMID: 1563005,PMID: 25877200,PMID: 35839778,PMID: 17426248,PMID: 1565469,PMID: 2985257,PMID: 8806092,PMID: 1312696,PMID: 11030152,PMID: 31803961,PMID: 30894373,PMID: 2985258,PMID: 25485619",56,Small Cell Lung Carcinoma,Metastatic,Lung,Male,White,Cell Line
SIDM01000,CMP,Cell Line,"PMID: 21424129,PMID: 26589293,PMID: 22460905,PMID: 27397505,PMID: 15009714,PMID: 15467732,PMID: 20164919,PMID: 4053039,PMID: 31978347,PMID: 28196595,PMID: 11121133,PMID: 31068700,PMID: 35839778,PMID: 16827748,PMID: 20215515,PMID: 3856042,PMID: 2253310,PMID: 3020539,PMID: 18632627,PMID: 15592718,PMID: 30894373,PMID: 25485619",55,Melanoma,Primary,Skin,Female,Not provided,Cell Line
SIDM00976,CMP,Cell Line,"PMID: 35839778,PMID: 15592718,PMID: 21343389,PMID: 23851445,PMID: 17260012,PMID: 27397505,PMID: 19340423,PMID: 11123321,PMID: 30894373",72,Melanoma,Primary,Skin,Male,Not provided,Cell Line
SIDM00973,CMP,Cell Line,"PMID: 26589293,PMID: 22460905,PMID: 8342600,PMID: 27397505,PMID: 8160777,PMID: 2068080,PMID: 4053039,PMID: 31978347,PMID: 31068700,PMID: 35839778,PMID: 16827748,PMID: 11123321,PMID: 2253310,PMID: 24576830,PMID: 23851445,PMID: 18632627,PMID: 15592718,PMID: 27087056,PMID: 30894373",37,Melanoma,Metastatic,Skin,Male,Not provided,Cell Line
SIDM01231,CMP,Cell Line,"PMID: 27397505,PMID: 20143388,PMID: 16643607,PMID: 31068700,PMID: 15767549,PMID: 30894373,PMID: 20164919",Not provided,Squamous Cell Lung Carcinoma,Primary,Lung,Male,East Asian,Cell Line
SIDM00452,CMP,Cell Line,"PMID: 15126341,PMID: 11416159,PMID: 26589293,PMID: 22585861,PMID: 22460905,PMID: 25167228,PMID: 1348891,PMID: 26216984,PMID: 8194712,PMID: 28196595,PMID: 31068700,PMID: 31395879,PMID: 11668190,PMID: 30894373,PMID: 15688027,PMID: 25485619",64,Pancreatic Adenocarcinoma,Metastatic,Pancreas,Female,Not provided,Cell Line
SIDM00804,CMP,Cell Line,"PMID: 26589293,PMID: 19787792,PMID: 25877200,PMID: 22460905,PMID: 21519327,PMID: 23144859,PMID: 26320182,PMID: 29334376,PMID: 36480329,PMID: 31068700,PMID: 2233717,PMID: 26852163,PMID: 30894373,PMID: 25485619",13,Osteosarcoma,Primary,Bone,Female,White,Cell Line
SIDM00840,CMP,Cell Line,"PMID: 32172478,PMID: 26589293,PMID: 1389533,PMID: 7459858,PMID: 23932154,PMID: 22460905,PMID: 28683746,PMID: 10612807,PMID: 29131639,PMID: 20831567,PMID: 7104989,PMID: 26537799,PMID: 25944804,PMID: 29101300,PMID: 924690,PMID: 288927,PMID: 24840470,PMID: 20570890,PMID: 327080,PMID: 6582512,PMID: 9000572,PMID: 10773689,PMID: 11226274,PMID: 25841592,PMID: 286328,PMID: 9290701,PMID: 9000147,PMID: 31978347,PMID: 16418264,PMID: 19927377,PMID: 28196595,PMID: 31068700,PMID: 1000501,PMID: 16854228,PMID: 3518877,PMID: 20606684,PMID: 10737795,PMID: 11414198,PMID: 25877200,PMID: 27987026,PMID: 23272949,PMID: 20215515,PMID: 8422623,PMID: 11416159,PMID: 9294210,PMID: 833871,PMID: 25984343,PMID: 8895552,PMID: 11113861,PMID: 11526487,PMID: 9715273,PMID: 10674020,PMID: 24755471,PMID: 31059103,PMID: 1778766,PMID: 7824277,PMID: 11668190,PMID: 25926053,PMID: 3349466,PMID: 30894373,PMID: 7651727,PMID: 24042735,PMID: 25485619",50,Colon Adenocarcinoma,Primary,Large Intestine,Male,White,Cell Line
SIDM00891,CMP,Cell Line,"PMID: 26589293,PMID: 7459858,PMID: 15868485,PMID: 23932154,PMID: 28683746,PMID: 31981602,PMID: 26869432,PMID: 10612807,PMID: 15316659,PMID: 33389257,PMID: 20831567,PMID: 26537799,PMID: 2914637,PMID: 25944804,PMID: 29101300,PMID: 14599474,PMID: 20570890,PMID: 327080,PMID: 29787057,PMID: 25841592,PMID: 15731278,PMID: 16418264,PMID: 28196595,PMID: 31068700,PMID: 16854228,PMID: 18258742,PMID: 8508948,PMID: 3518877,PMID: 20606684,PMID: 10737795,PMID: 11414198,PMID: 25877200,PMID: 12584437,PMID: 34339474,PMID: 21607810,PMID: 23272949,PMID: 10092214,PMID: 6935474,PMID: 8253353,PMID: 7764660,PMID: 25960936,PMID: 11416159,PMID: 9294210,PMID: 833871,PMID: 24755471,PMID: 11668190,PMID: 25926053,PMID: 3349466,PMID: 30894373,PMID: 24042735,PMID: 25485619",72,Colon Adenocarcinoma,Primary,Large Intestine,Male,White,Cell Line
SIDM00979,CMP,Cell Line,"PMID: 21424129,PMID: 26589293,PMID: 22460905,PMID: 15467732,PMID: 29492214,PMID: 4053039,PMID: 31978347,PMID: 28196595,PMID: 11121133,PMID: 31068700,PMID: 12068308,PMID: 20215515,PMID: 19799798,PMID: 3856042,PMID: 2253310,PMID: 25960936,PMID: 23851445,PMID: 3020539,PMID: 15592718,PMID: 28158294,PMID: 17308088,PMID: 30894373,PMID: 25485619",55,Melanoma,Metastatic,Skin,Female,Not provided,Cell Line
SIDM01013,CMP,Cell Line,"PMID: 26589293,PMID: 22460905,PMID: 21746927,PMID: 27397505,PMID: 30285677,PMID: 16183118,PMID: 20164919,PMID: 25315077,PMID: 3093393,PMID: 28196595,PMID: 31068700,PMID: 24362935,PMID: 35839778,PMID: 25688540,PMID: 3262465,PMID: 31160637,PMID: 30629668,PMID: 25960936,PMID: 20454443,PMID: 16960149,PMID: 7849311,PMID: 16448697,PMID: 30894373",63,Mantle Cell Lymphoma,Primary,Haematopoietic and Lymphoid,Female,Not provided,Cell Line
SIDM01082,CMP,Cell Line,"PMID: 6722007,PMID: 26589293,PMID: 20014447,PMID: 3458227,PMID: 22460905,PMID: 22006338,PMID: 27397505,PMID: 29423072,PMID: 20164919,PMID: 17325662,PMID: 17312569,PMID: 25888065,PMID: 3138611,PMID: 3417487,PMID: 27664486,PMID: 22564525,PMID: 31978347,PMID: 25275298,PMID: 28196595,PMID: 31068700,PMID: 2380097,PMID: 21868764,PMID: 7214336,PMID: 25877200,PMID: 35839778,PMID: 30894373,PMID: 3182330,PMID: 29156801,PMID: 1574572,PMID: 20215515,PMID: 3539321,PMID: 24825747,PMID: 1394225,PMID: 8390283,PMID: 2573646,PMID: 31395879,PMID: 17848307,PMID: 24201445,PMID: 22546478,PMID: 8339273,PMID: 25485619",70,Tongue Squamous Cell Carcinoma,Primary,Head and Neck,Male,Not provided,Cell Line
SIDM00999,CMP,Cell Line,"PMID: 26589293,PMID: 22460905,PMID: 27397505,PMID: 944089,PMID: 23401075,PMID: 29732388,PMID: 25997541,PMID: 20164919,PMID: 6582512,PMID: 31068700,PMID: 748774,PMID: 24367658,PMID: 6244232,PMID: 3518877,PMID: 35839778,PMID: 26621286,PMID: 8873383,PMID: 24035680,PMID: 20215515,PMID: 6935474,PMID: 66978,PMID: 571047,PMID: 30894373",69,Bladder Carcinoma,Primary,Bladder,Male,White,Cell Line
SIDM00998,CMP,Cell Line,"PMID: 35839778,PMID: 22460905,PMID: 27397505,PMID: 31068700,PMID: 11668190,PMID: 30894373,PMID: 30971826,PMID: 9604998,PMID: 20164919",54,Glioblastoma,Primary,Central Nervous System,Female,Not provided,Cell Line
SIDM00995,CMP,Cell Line,"PMID: 6954533,PMID: 26589293,PMID: 27397505,PMID: 6092175,PMID: 6500159,PMID: 212188,PMID: 25894527,PMID: 22282976,PMID: 9887230,PMID: 20164919,PMID: 28176443,PMID: 9290701,PMID: 23637631,PMID: 22108792,PMID: 25877200,PMID: 35839778,PMID: 4357758,PMID: 2228902,PMID: 6983291,PMID: 20215515,PMID: 25960936,PMID: 11416159,PMID: 2758419,PMID: 1394225,PMID: 24804581,PMID: 17178626,PMID: 6254071,PMID: 11668190,PMID: 30894373,PMID: 26989177,PMID: 2990217,PMID: 25485619",85,Skin Squamous Cell Carcinoma,Primary,Skin,Female,Not provided,Cell Line
SIDM00992,CMP,Cell Line,"PMID: 26589293,PMID: 15172756,PMID: 18713817,PMID: 22460905,PMID: 27397505,PMID: 19087340,PMID: 20164919,PMID: 17804723,PMID: 17725429,PMID: 23833040,PMID: 31068700,PMID: 23162534,PMID: 32666385,PMID: 11439348,PMID: 21868764,PMID: 25877200,PMID: 35839778,PMID: 22087789,PMID: 14522906,PMID: 28775782,PMID: 30737244,PMID: 1297527,PMID: 31395879,PMID: 8156527,PMID: 30894373",76,Papillary Thyroid Carcinoma,Primary,Thyroid,Female,Not provided,Cell Line
SIDM00989,CMP,Cell Line,"PMID: 26589293,PMID: 25877200,PMID: 35839778,PMID: 15846775,PMID: 22460905,PMID: 8712703,PMID: 27397505,PMID: 24035680,PMID: 20215515,PMID: 31068700,PMID: 29732388,PMID: 20164919,PMID: 30894373,PMID: 24367658,PMID: 25485619",51,Bladder Carcinoma,Primary,Bladder,Female,East Asian,Cell Line
SIDM00988,CMP,Cell Line,"PMID: 26589293,PMID: 25877200,PMID: 35839778,PMID: 23599788,PMID: 28489074,PMID: 22460905,PMID: 8712703,PMID: 25485619,PMID: 27397505,PMID: 24035680,PMID: 31068700,PMID: 29732388,PMID: 11668190,PMID: 30894373,PMID: 24367658,PMID: 20164919",64,Renal Pelvis Urothelial Carcinoma,Primary,Kidney,Male,Not provided,Cell Line
SIDM01056,CMP,Cell Line,"PMID: 26589293,PMID: 25877200,PMID: 25984343,PMID: 35839778,PMID: 22585861,PMID: 6589426,PMID: 22460905,PMID: 27397505,PMID: 31978347,PMID: 20215515,PMID: 24176112,PMID: 19582160,PMID: 10969801,PMID: 28196595,PMID: 31068700,PMID: 20164919,PMID: 30894373,PMID: 25485619",50,Ductal Breast Carcinoma,Metastatic,Breast,Female,White,Cell Line
SIDM01052,CMP,Cell Line,"PMID: 26589293,PMID: 35839778,PMID: 25984343,PMID: 23839242,PMID: 22460905,PMID: 30485824,PMID: 12661003,PMID: 27397505,PMID: 6405069,PMID: 28196595,PMID: 31068700,PMID: 30894373,PMID: 30971826,PMID: 20164919",56,Ovarian Serous Cystadenocarcinoma,Metastatic,Ovary,Female,White,Cell Line
SIDM01050,CMP,Cell Line,"PMID: 32899426,PMID: 27397505,PMID: 26956050,PMID: 20164919,PMID: 30894373,PMID: 30971826,PMID: 35640676,PMID: 27231123",52,Cholangiocarcinoma,Primary,Biliary Tract,Male,White,Cell Line
SIDM01047,CMP,Cell Line,"PMID: 3332852,PMID: 26589293,PMID: 25877200,PMID: 35839778,PMID: 22460905,PMID: 10071072,PMID: 27397505,PMID: 20215515,PMID: 30285677,PMID: 31160637,PMID: 30629668,PMID: 31068700,PMID: 3856862,PMID: 20809971,PMID: 30894373,PMID: 10637496,PMID: 20164919",5,Chronic Myelogenous Leukemia,Primary,Haematopoietic and Lymphoid,Female,White,Cell Line
SIDM01042,CMP,Cell Line,"PMID: 19593635,PMID: 3702420,PMID: 27397505,PMID: 24176112,PMID: 20164919,PMID: 1000504,PMID: 212193,PMID: 16142302,PMID: 16541312,PMID: 1000505,PMID: 28196595,PMID: 31068700,PMID: 16397213,PMID: 26759240,PMID: 25877200,PMID: 35839778,PMID: 9488600,PMID: 23601657,PMID: 30971826,PMID: 9570382,PMID: 30894373,PMID: 25485619",Not provided,Breast Carcinoma,Metastatic,Breast,Female,Not provided,Cell Line
SIDM01055,CMP,Cell Line,"PMID: 26589293,PMID: 35839778,PMID: 22460905,PMID: 27397505,PMID: 31978347,PMID: 22278370,PMID: 8239502,PMID: 31068700,PMID: 24618588,PMID: 30894373,PMID: 3178168,PMID: 30971826,PMID: 20164919",42,Glioblastoma,Primary,Central Nervous System,Female,Not provided,Cell Line
SIDM01073,CMP,Cell Line,"PMID: 20454443,PMID: 35839778,PMID: 22653958,PMID: 27397505,PMID: 31160637,PMID: 1851909,PMID: 30894373,PMID: 20164919",56,Hairy Cell Leukemia,Primary,Haematopoietic and Lymphoid,Male,White,Cell Line
